city,city_code
ADA,1000
ADAMS,1001
ADOLPH,1002
ADRIAN,1003
AFTON,1004
AH-GWAH-CHING,1005
AITKIN,1006
AKELEY,1007
ALBANY,1008
ALBERT LEA,1009
ALBERTA,1010
ALBERTVILLE,1011
ALBORN,1012
ALDEN,1013
ALDRICH,1014
ALEXANDRIA,1015
ALIDA,1016
ALMELUND,1017
ALPHA,1018
ALTURA,1019
ALVARADO,1020
ALVWOOD,1021
AMBOY,1022
AMIRET,1023
ANDOVER,1024
ANGLE INLET,1025
ANGORA,1026
ANGUS,1027
ANNANDALE,1028
ANOKA,1029
ANTHONY,1030
APPLE VALLEY,1031
APPLETON,1032
ARCO,1033
ARDEN HILLS,1034
ARGYLE,1035
ARLINGTON,1036
ARMSTRONG,1037
ARNOLD,1038
ASHBY,1039
ASKOV,1040
ATKINSON,1041
ATWATER,1042
AUDUBON,1043
AURORA,1044
AUSTIN,1045
AVOCA,1046
AVON,1047
BABBITT,1048
BACKUS,1049
BADGER,1050
BAGLEY,1051
BAKER,1052
BALATON,1053
BALDWIN TOWNSHIP,1054
BALL CLUB,1055
BALSAM LAKE,1056
BARNESVILLE,1057
BARNUM,1058
BARRETT,1059
BARRY,1060
BASS BROOK,1061
BATTLE LAKE,1062
BAUDETTE,1063
BAXTER,1064
BAY LAKE,1065
BAYPORT,1066
BEAR ISLAND,1067
BEAR RIVER,1068
BEARDSLEY,1069
BEAUFORD,1070
BEAULIEU,1071
BEAVER,1072
BEAVER BAY,1073
BEAVER CREEK,1074
BECIDA,1075
BECKER,1076
BEJOU,1077
BELGRADE,1078
BELLE PLAINE,1079
BELLECHESTER,1080
BELLINGHAM,1081
BELTRAMI,1082
BELVIEW,1083
BEMIDJI,1084
BENA,1085
BENEDICT,1086
BENSON,1087
BERNADOTTE,1088
BERNER,1089
BEROUN,1090
BERTHA,1091
BETHEL,1092
BIG FALLS,1093
BIG FORK,1094
BIG LAKE,1095
BIGELOW,1096
BIGFORK,1097
BINGHAM LAKE,1098
BIRCHDALE,1099
BIRCHWOOD,1100
BIRD ISLAND,1101
BISCAY,1102
BIWABIK,1103
BIXBY,1104
BLACKDUCK,1105
BLAINE,1106
BLOMKEST,1107
BLOOMING PRAIRIE,1108
BLOOMINGTON,1109
BLUE EARTH,1110
BLUE HILL TOWNSHIP,1111
BLUFFTON,1112
BOCK,1113
BOISBERG,1114
BORUP,1115
BOVEY,1116
BOWLUS,1117
BOWSTRING,1118
BOY RIVER,1119
BOYD,1120
BRADFORD,1121
BRAHAM,1122
BRAINERD,1123
BRANDON,1124
BRECKENRIDGE,1125
BREEZY POINT,1126
BREWSTER,1127
BRICELYN,1128
BRIMSON,1129
BRITT,1130
BROOK PARK,1131
BROOKLYN CENTER,1132
BROOKLYN PARK,1133
BROOKS,1134
BROOKSTON,1135
BROOTEN,1136
BROWERVILLE,1137
BROWNS VALLEY,1138
BROWNSDALE,1139
BROWNSVILLE,1140
BROWNTON,1141
BRUNO,1142
BUCKMAN,1143
