entity_code,group_code,member_first_name,member_last_name,title,position
mn1901,council,Bill,Blonigan,Mayor,city
mn1901,council,Regan,Murphy,Council Member,Ward 1
mn1901,council,Jason,Greenberg,Council Member,Ward 2
mn1901,council,Mia,Parisian,Council Member,Ward 3
mn1901,council,Aaron,Wagner,Council Member,Ward 4
mn1901,chart,Kelly,Groehler,Member,At Large
mn1901,chart,Jeff,Mueller,Member,At Large
mn1901,chart,Michael,Scanlon,Member,At Large
mn1901,chart,Scott,Allen,Member,At Large
mn1901,chart,Larrin,Bergman,Member,At Large
mn1901,chart,Dennis,Motl,Member,At Large
mn1901,chart,Michael,Meehan,Member,At Large
mn1901,chart,Chris,Berg,Member,At Large
mn1901,chart,Jonathan,Hansen,Member,At Large
mn1901,chart,Patrick,Nailon,Member,At Large
mn1901,chart,Dustin,Leslie,Member,At Large
mn1901,hrc,Krystyn,Lee,Chair,At Large
mn1901,hrc,Jonathan,Hansen,Vice Chair,At Large
mn1901,hrc,Julie,Ralston-Aoki,Member,At Large
mn1901,hrc,Sarah,Vanausdall-Smith,Member,At Large
mn1901,hrc,Rita,Fox,Member,At Large
mn1901,hrc,Molly ,Beahan,Member,At Large
mn1901,hrc,Patrick,Nailon,Member,At Large
mn1901,hrc,Carlos,Smith,Member,At Large
mn1901,hrc,Jen,Birkhofer,Member,At Large
mn1901,hrc,Courtney,Kirkeeng,Member,At Large
mn1901,prf,Melissa,Markfort,Member,Ward 1
mn1901,prf,,Vacant,Member,Ward 2
mn1901,prf,Denise,Beck,Member,Ward 3
mn1901,prf,Damien,Rochon-Washington,Member,Ward 4
mn1901,prf,Daniel,Hickman,Member,At Large
mn1901,prf,Michelle ,Vaith,Member,At Large
mn1901,prf,Nicholas,Erdos-Thayer,Member,At Large
mn1901,plan,Lucas,Harris,Member,Ward 1
mn1901,plan,Julie,Ralston-Aoki,Member,Ward 2
mn1901,plan,Rebecca,Allen,Member,Ward 3
mn1901,plan,Jane,Montemayor,Member,Ward 4
mn1901,plan,Susan,Carlson Weinberg,Member,At Large
mn1901,sen,David,Bjorkquist,Member,At Large
mn1901,sen,Claudia,Fuglie,Member,At Large
mn1901,sen,Diane,Jorde,Member,At Large
mn1901,sen,Mary,Mennenga,Member,At Large
mn1901,sen,Carol,Kile,Member,At Large
mn1901,staff,Tim,Sandvik,City Manager,,
mn1901,staff,Chase,Peterson-Etem,City Clerk,,
mn1901,staff,Richard,McCoy,City Engineer/Public Works,,
mn1901,staff,Heather,Rand,Community Development Director,,
mn1901,staff,Will,Bucheger,Assistant Planner,,
mn1901,staff,Matt,Bazyk,Recreation Services Manger,,
mn1901,staff,Joanna,Brookes,Human Resources/Risk Management Manager,,
mn1901,staff,Stephan,Papiz,City Forester/Natural Resources Specialist,,
